epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_rmse, e/N_rmse
    5,    39,          0.04125,         0.041217,       3.2899e-05,           1.4519,           2.0651,           1.2846,         0.058391
    5,    40,         0.060728,         0.060656,       7.2404e-05,           1.6851,           2.5052,           1.8965,         0.086204
    5,    41,         0.040809,         0.040668,       0.00014083,           1.5225,           2.0513,           2.6517,          0.12053
    5,    42,         0.060128,         0.060096,        3.231e-05,           1.6852,           2.4936,           1.2669,         0.057587
    5,    43,         0.065388,         0.065152,        0.0002366,            1.703,           2.5964,           3.4511,          0.15687
    5,    44,         0.050525,         0.049979,        0.0005455,           1.6549,           2.2741,           5.2282,          0.23765
    5,    45,         0.041985,         0.041656,       0.00032938,           1.4665,           2.0761,           4.0606,          0.18457
    5,    46,         0.050562,         0.050506,       5.5433e-05,           1.6004,            2.286,           1.6708,         0.075943
    5,    47,         0.057049,         0.056664,       0.00038571,           1.6456,           2.4214,           4.3892,          0.19951
    5,    48,         0.045752,         0.045623,       0.00012929,           1.5048,           2.1727,           2.5436,          0.11562
    5,    49,         0.053633,         0.053341,       0.00029146,           1.6673,           2.3493,           3.8205,          0.17366
    5,    50,         0.059401,         0.059332,       6.8787e-05,           1.6841,           2.4778,            1.859,           0.0845
    5,    51,         0.041119,         0.040845,       0.00027409,           1.4719,           2.0558,           3.7013,          0.16824
    5,    52,         0.046478,         0.046361,       0.00011688,           1.5826,           2.1902,            2.416,          0.10982
    5,    53,         0.039981,         0.039827,       0.00015337,           1.4273,             2.03,           2.7655,          0.12571
    5,    54,         0.045728,         0.045549,       0.00017939,            1.542,            2.171,            3.007,          0.13668
    5,    55,         0.056553,         0.056378,       0.00017481,           1.7839,           2.4153,           2.9632,          0.13469
    5,    56,         0.049508,         0.049388,       0.00012046,            1.654,           2.2606,           2.4669,          0.11213
    5,    57,         0.056505,         0.056229,       0.00027598,           1.7122,           2.4121,           3.7229,          0.16922
    5,    58,         0.070626,         0.070428,       0.00019827,           1.7349,           2.6995,           3.1488,          0.14313
